"external_gene_id"	"description"
"Tecpr2"	"tectonin beta-propeller repeat containing 2 [Source:MGI Symbol;Acc:MGI:2144865]"
"Tnfaip2"	"tumor necrosis factor, alpha-induced protein 2 [Source:MGI Symbol;Acc:MGI:104960]"
"Eif5"	"eukaryotic translation initiation factor 5 [Source:MGI Symbol;Acc:MGI:95309]"
"Ryr2"	"ryanodine receptor 2, cardiac [Source:MGI Symbol;Acc:MGI:99685]"
"Ippk"	"inositol 1,3,4,5,6-pentakisphosphate 2-kinase [Source:MGI Symbol;Acc:MGI:1922928]"
"Ogn"	"osteoglycin [Source:MGI Symbol;Acc:MGI:109278]"
"Nol8"	"nucleolar protein 8 [Source:MGI Symbol;Acc:MGI:1918180]"
"Spin1"	"spindlin 1 [Source:MGI Symbol;Acc:MGI:109242]"
"Ripk1"	"receptor (TNFRSF)-interacting serine-threonine kinase 1 [Source:MGI Symbol;Acc:MGI:108212]"
"Prpf4b"	"PRP4 pre-mRNA processing factor 4 homolog B (yeast) [Source:MGI Symbol;Acc:MGI:109584]"
"Ror2"	"receptor tyrosine kinase-like orphan receptor 2 [Source:MGI Symbol;Acc:MGI:1347521]"
"Ctsl"	"cathepsin L [Source:MGI Symbol;Acc:MGI:88564]"
"Cxcl14"	"chemokine (C-X-C motif) ligand 14 [Source:MGI Symbol;Acc:MGI:1888514]"
"Agtpbp1"	"ATP/GTP binding protein 1 [Source:MGI Symbol;Acc:MGI:2159437]"
"Dapk1"	"death associated protein kinase 1 [Source:MGI Symbol;Acc:MGI:1916885]"
"Ahrr"	"aryl-hydrocarbon receptor repressor [Source:MGI Symbol;Acc:MGI:1333776]"
"Med10"	"mediator of RNA polymerase II transcription, subunit 10 homolog (NUT2, S. cerevisiae) [Source:MGI Symbol;Acc:MGI:106331]"
"Irx4"	"Iroquois related homeobox 4 (Drosophila) [Source:MGI Symbol;Acc:MGI:1355275]"
"Vcan"	"versican [Source:MGI Symbol;Acc:MGI:102889]"
"Smn1"	"survival motor neuron 1 [Source:MGI Symbol;Acc:MGI:109257]"
"Zfyve16"	"zinc finger, FYVE domain containing 16 [Source:MGI Symbol;Acc:MGI:2145181]"
"Trappc13"	"trafficking protein particle complex 13 [Source:MGI Symbol;Acc:MGI:1914225]"
"Rgs7bp"	"regulator of G-protein signalling 7 binding protein [Source:MGI Symbol;Acc:MGI:106334]"
"Fgf10"	"fibroblast growth factor 10 [Source:MGI Symbol;Acc:MGI:1099809]"
"Map3k1"	"mitogen-activated protein kinase kinase kinase 1 [Source:MGI Symbol;Acc:MGI:1346872]"
"Dlg5"	"discs, large homolog 5 (Drosophila) [Source:MGI Symbol;Acc:MGI:1918478]"
"Glud1"	"glutamate dehydrogenase 1 [Source:MGI Symbol;Acc:MGI:95753]"
"Pnp"	"purine-nucleoside phosphorylase [Source:MGI Symbol;Acc:MGI:97365]"
"Sh3bp5"	"SH3-domain binding protein 5 (BTK-associated) [Source:MGI Symbol;Acc:MGI:1344391]"
"Galnt15"	"UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 15 [Source:MGI Symbol;Acc:MGI:1926004]"
"Sema3g"	"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3G [Source:MGI Symbol;Acc:MGI:3041242]"
"Sap18"	"Sin3-associated polypeptide 18 [Source:MGI Symbol;Acc:MGI:1277978]"
"Cab39l"	"calcium binding protein 39-like [Source:MGI Symbol;Acc:MGI:1914081]"
"Scara5"	"scavenger receptor class A, member 5 (putative) [Source:MGI Symbol;Acc:MGI:1918395]"
"Clu"	"clusterin [Source:MGI Symbol;Acc:MGI:88423]"
"Ppp2r2a"	"protein phosphatase 2 (formerly 2A), regulatory subunit B (PR 52), alpha isoform [Source:MGI Symbol;Acc:MGI:1919228]"
"Hr"	"hairless [Source:MGI Symbol;Acc:MGI:96223]"
"Gfra2"	"glial cell line derived neurotrophic factor family receptor alpha 2 [Source:MGI Symbol;Acc:MGI:1195462]"
"Ednrb"	"endothelin receptor type B [Source:MGI Symbol;Acc:MGI:102720]"
"Mbnl2"	"muscleblind-like 2 [Source:MGI Symbol;Acc:MGI:2145597]"
"Lrp10"	"low-density lipoprotein receptor-related protein 10 [Source:MGI Symbol;Acc:MGI:1929480]"
"Oxct1"	"3-oxoacid CoA transferase 1 [Source:MGI Symbol;Acc:MGI:1914291]"
"6030458C11Rik"	"RIKEN cDNA 6030458C11 gene [Source:MGI Symbol;Acc:MGI:1925127]"
"Npr3"	"natriuretic peptide receptor 3 [Source:MGI Symbol;Acc:MGI:97373]"
"Fitm1"	"fat storage-inducing transmembrane protein 1 [Source:MGI Symbol;Acc:MGI:1915930]"
"Ripk3"	"receptor-interacting serine-threonine kinase 3 [Source:MGI Symbol;Acc:MGI:2154952]"
"Cma1"	"chymase 1, mast cell [Source:MGI Symbol;Acc:MGI:96941]"
"Zscan26"	"zinc finger and SCAN domain containing 26 [Source:MGI Symbol;Acc:MGI:3531417]"
"Sema5a"	"sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5A [Source:MGI Symbol;Acc:MGI:107556]"
"Ctnnd2"	"catenin (cadherin associated protein), delta 2 [Source:MGI Symbol;Acc:MGI:1195966]"
"Tars"	"threonyl-tRNA synthetase [Source:MGI Symbol;Acc:MGI:106314]"
"Sdc2"	"syndecan 2 [Source:MGI Symbol;Acc:MGI:1349165]"
"Lrp12"	"low density lipoprotein-related protein 12 [Source:MGI Symbol;Acc:MGI:2443132]"
"Eif3h"	"eukaryotic translation initiation factor 3, subunit H [Source:MGI Symbol;Acc:MGI:1915385]"
"Pop1"	"processing of precursor 1, ribonuclease P/MRP family, (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1914974]"
"Sybu"	"syntabulin (syntaxin-interacting) [Source:MGI Symbol;Acc:MGI:2442392]"
"Sqle"	"squalene epoxidase [Source:MGI Symbol;Acc:MGI:109296]"
"Atad2"	"ATPase family, AAA domain containing 2 [Source:MGI Symbol;Acc:MGI:1917722]"
"Has2"	"hyaluronan synthase 2 [Source:MGI Symbol;Acc:MGI:107821]"
"Wnt7b"	"wingless-related MMTV integration site 7B [Source:MGI Symbol;Acc:MGI:98962]"
"Csnk1e"	"casein kinase 1, epsilon [Source:MGI Symbol;Acc:MGI:1351660]"
"Parvb"	"parvin, beta [Source:MGI Symbol;Acc:MGI:2153063]"
"Ndufa6"	"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 6 (B14) [Source:MGI Symbol;Acc:MGI:1914380]"
"Slc38a2"	"solute carrier family 38, member 2 [Source:MGI Symbol;Acc:MGI:1915010]"
"Slc38a4"	"solute carrier family 38, member 4 [Source:MGI Symbol;Acc:MGI:1916604]"
"Pde1b"	"phosphodiesterase 1B, Ca2+-calmodulin dependent [Source:MGI Symbol;Acc:MGI:97523]"
"1810013L24Rik"	"RIKEN cDNA 1810013L24 gene [Source:MGI Symbol;Acc:MGI:1916303]"
"Bcl6"	"B cell leukemia/lymphoma 6 [Source:MGI Symbol;Acc:MGI:107187]"
"Il1rap"	"interleukin 1 receptor accessory protein [Source:MGI Symbol;Acc:MGI:104975]"
"Hes1"	"hairy and enhancer of split 1 (Drosophila) [Source:MGI Symbol;Acc:MGI:104853]"
"Cyc1"	"cytochrome c-1 [Source:MGI Symbol;Acc:MGI:1913695]"
"Maf1"	"MAF1 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1916127]"
"Fbxl6"	"F-box and leucine-rich repeat protein 6 [Source:MGI Symbol;Acc:MGI:1354705]"
"Plec"	"plectin [Source:MGI Symbol;Acc:MGI:1277961]"
"Rpl24"	"ribosomal protein L24 [Source:MGI Symbol;Acc:MGI:1915443]"
"Arc"	"activity regulated cytoskeletal-associated protein [Source:MGI Symbol;Acc:MGI:88067]"
"Cd200"	"CD200 antigen [Source:MGI Symbol;Acc:MGI:1196990]"
"Prkdc"	"protein kinase, DNA activated, catalytic polypeptide [Source:MGI Symbol;Acc:MGI:104779]"
"Qtrtd1"	"queuine tRNA-ribosyltransferase domain containing 1 [Source:MGI Symbol;Acc:MGI:1922194]"
"Zbtb20"	"zinc finger and BTB domain containing 20 [Source:MGI Symbol;Acc:MGI:1929213]"
"Dgcr8"	"DiGeorge syndrome critical region gene 8 [Source:MGI Symbol;Acc:MGI:2151114]"
"Cpox"	"coproporphyrinogen oxidase [Source:MGI Symbol;Acc:MGI:104841]"
"Ypel1"	"yippee-like 1 (Drosophila) [Source:MGI Symbol;Acc:MGI:1913303]"
"Ncbp2"	"nuclear cap binding protein subunit 2 [Source:MGI Symbol;Acc:MGI:1915342]"
"Tnk2"	"tyrosine kinase, non-receptor, 2 [Source:MGI Symbol;Acc:MGI:1858308]"
"Tfrc"	"transferrin receptor [Source:MGI Symbol;Acc:MGI:98822]"
"Abcc5"	"ATP-binding cassette, sub-family C (CFTR/MRP), member 5 [Source:MGI Symbol;Acc:MGI:1351644]"
"Gtf2e1"	"general transcription factor II E, polypeptide 1 (alpha subunit) [Source:MGI Symbol;Acc:MGI:1921447]"
"Mylk"	"myosin, light polypeptide kinase [Source:MGI Symbol;Acc:MGI:894806]"
"Adcy5"	"adenylate cyclase 5 [Source:MGI Symbol;Acc:MGI:99673]"
"Tmem41a"	"transmembrane protein 41a [Source:MGI Symbol;Acc:MGI:1913914]"
"Chodl"	"chondrolectin [Source:MGI Symbol;Acc:MGI:2179069]"
"Eif4a2"	"eukaryotic translation initiation factor 4A2 [Source:MGI Symbol;Acc:MGI:106906]"
"Masp1"	"mannan-binding lectin serine peptidase 1 [Source:MGI Symbol;Acc:MGI:88492]"
"Ets2"	"E26 avian leukemia oncogene 2, 3' domain [Source:MGI Symbol;Acc:MGI:95456]"
"Dscr3"	"Down syndrome critical region gene 3 [Source:MGI Symbol;Acc:MGI:1206040]"
"Brwd1"	"bromodomain and WD repeat domain containing 1 [Source:MGI Symbol;Acc:MGI:1890651]"
"Pigp"	"phosphatidylinositol glycan anchor biosynthesis, class P [Source:MGI Symbol;Acc:MGI:1860433]"
"Clic6"	"chloride intracellular channel 6 [Source:MGI Symbol;Acc:MGI:2146607]"
"Son"	"Son DNA binding protein [Source:MGI Symbol;Acc:MGI:98353]"
"Synj1"	"synaptojanin 1 [Source:MGI Symbol;Acc:MGI:1354961]"
"Sod1"	"superoxide dismutase 1, soluble [Source:MGI Symbol;Acc:MGI:98351]"
"Wnt10b"	"wingless related MMTV integration site 10b [Source:MGI Symbol;Acc:MGI:108061]"
"Fmnl3"	"formin-like 3 [Source:MGI Symbol;Acc:MGI:109569]"
"Smarcd1"	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1 [Source:MGI Symbol;Acc:MGI:1933623]"
"Csad"	"cysteine sulfinic acid decarboxylase [Source:MGI Symbol;Acc:MGI:2180098]"
"Igfbp6"	"insulin-like growth factor binding protein 6 [Source:MGI Symbol;Acc:MGI:96441]"
"Calcoco1"	"calcium binding and coiled coil domain 1 [Source:MGI Symbol;Acc:MGI:1914738]"
"Vwa5a"	"von Willebrand factor A domain containing 5A [Source:MGI Symbol;Acc:MGI:1915026]"
"Serinc2"	"serine incorporator 2 [Source:MGI Symbol;Acc:MGI:1919132]"
"Kcnk5"	"potassium channel, subfamily K, member 5 [Source:MGI Symbol;Acc:MGI:1336175]"
"Creld2"	"cysteine-rich with EGF-like domains 2 [Source:MGI Symbol;Acc:MGI:1923987]"
"Trip6"	"thyroid hormone receptor interactor 6 [Source:MGI Symbol;Acc:MGI:1343458]"
"Lnpep"	"leucyl/cystinyl aminopeptidase [Source:MGI Symbol;Acc:MGI:2387123]"
"Flywch2"	"FLYWCH family member 2 [Source:MGI Symbol;Acc:MGI:1924167]"
"Tnfrsf21"	"tumor necrosis factor receptor superfamily, member 21 [Source:MGI Symbol;Acc:MGI:2151075]"
"Mut"	"methylmalonyl-Coenzyme A mutase [Source:MGI Symbol;Acc:MGI:97239]"
"Satb1"	"special AT-rich sequence binding protein 1 [Source:MGI Symbol;Acc:MGI:105084]"
"Cdc5l"	"cell division cycle 5-like (S. pombe) [Source:MGI Symbol;Acc:MGI:1918952]"
"Sgol1"	"shugoshin-like 1 (S. pombe) [Source:MGI Symbol;Acc:MGI:1919665]"
"Nfkbie"	"nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, epsilon [Source:MGI Symbol;Acc:MGI:1194908]"
"Clic5"	"chloride intracellular channel 5 [Source:MGI Symbol;Acc:MGI:1917912]"
"Enpp5"	"ectonucleotide pyrophosphatase/phosphodiesterase 5 [Source:MGI Symbol;Acc:MGI:1933830]"
"Nfya"	"nuclear transcription factor-Y alpha [Source:MGI Symbol;Acc:MGI:97316]"
"Brd4"	"bromodomain containing 4 [Source:MGI Symbol;Acc:MGI:1888520]"
"Cpne5"	"copine V [Source:MGI Symbol;Acc:MGI:2385908]"
"Ndufv3"	"NADH dehydrogenase (ubiquinone) flavoprotein 3 [Source:MGI Symbol;Acc:MGI:1890894]"
"Cryaa"	"crystallin, alpha A [Source:MGI Symbol;Acc:MGI:88515]"
"Wiz"	"widely-interspaced zinc finger motifs [Source:MGI Symbol;Acc:MGI:1332638]"
"Smchd1"	"SMC hinge domain containing 1 [Source:MGI Symbol;Acc:MGI:1921605]"
"Cyp4f13"	"cytochrome P450, family 4, subfamily f, polypeptide 13 [Source:MGI Symbol;Acc:MGI:2158641]"
"Slc30a6"	"solute carrier family 30 (zinc transporter), member 6 [Source:MGI Symbol;Acc:MGI:2386741]"
"Birc6"	"baculoviral IAP repeat-containing 6 [Source:MGI Symbol;Acc:MGI:1276108]"
"Pja2"	"praja 2, RING-H2 motif containing [Source:MGI Symbol;Acc:MGI:2159342]"
"Man2a1"	"mannosidase 2, alpha 1 [Source:MGI Symbol;Acc:MGI:104669]"
"Cyp1b1"	"cytochrome P450, family 1, subfamily b, polypeptide 1 [Source:MGI Symbol;Acc:MGI:88590]"
"Srsf7"	"serine/arginine-rich splicing factor 7 [Source:MGI Symbol;Acc:MGI:1926232]"
"Wash"	"WAS protein family homolog [Source:MGI Symbol;Acc:MGI:1916017]"
"Spsb3"	"splA/ryanodine receptor domain and SOCS box containing 3 [Source:MGI Symbol;Acc:MGI:1891471]"
"St6gal2"	"beta galactoside alpha 2,6 sialyltransferase 2 [Source:MGI Symbol;Acc:MGI:2445190]"
"Tpsab1"	"tryptase alpha/beta 1 [Source:MGI Symbol;Acc:MGI:96943]"
"Axin1"	"axin 1 [Source:MGI Symbol;Acc:MGI:1096327]"
"Rgs11"	"regulator of G-protein signaling 11 [Source:MGI Symbol;Acc:MGI:1354739]"
"Grm8"	"glutamate receptor, metabotropic 8 [Source:MGI Symbol;Acc:MGI:1351345]"
"Map3k8"	"mitogen-activated protein kinase kinase kinase 8 [Source:MGI Symbol;Acc:MGI:1346878]"
"Svil"	"supervillin [Source:MGI Symbol;Acc:MGI:2147319]"
"Epc1"	"enhancer of polycomb homolog 1 (Drosophila) [Source:MGI Symbol;Acc:MGI:1278322]"
"Tmem178"	"transmembrane protein 178 [Source:MGI Symbol;Acc:MGI:1915277]"
"Cox7a2l"	"cytochrome c oxidase subunit VIIa polypeptide 2-like [Source:MGI Symbol;Acc:MGI:106015]"
"Thada"	"thyroid adenoma associated [Source:MGI Symbol;Acc:MGI:3039623]"
"Rock1"	"Rho-associated coiled-coil containing protein kinase 1 [Source:MGI Symbol;Acc:MGI:107927]"
"H2-Ke2"	"H2-K region expressed gene 2 [Source:MGI Symbol;Acc:MGI:95908]"
"Brd2"	"bromodomain containing 2 [Source:MGI Symbol;Acc:MGI:99495]"
"Stard4"	"StAR-related lipid transfer (START) domain containing 4 [Source:MGI Symbol;Acc:MGI:2156764]"
"Iws1"	"IWS1 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1920723]"
"Zfp521"	"zinc finger protein 521 [Source:MGI Symbol;Acc:MGI:95459]"
"Impact"	"imprinted and ancient [Source:MGI Symbol;Acc:MGI:1098233]"
"Dcp2"	"DCP2 decapping enzyme homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1917890]"
"4833403I15Rik"	"RIKEN cDNA 4833403I15 gene [Source:MGI Symbol;Acc:MGI:1921824]"
"Hsd17b4"	"hydroxysteroid (17-beta) dehydrogenase 4 [Source:MGI Symbol;Acc:MGI:105089]"
"Gnal"	"guanine nucleotide binding protein, alpha stimulating, olfactory type [Source:MGI Symbol;Acc:MGI:95774]"
"Cep192"	"centrosomal protein 192 [Source:MGI Symbol;Acc:MGI:1918049]"
"Prrc1"	"proline-rich coiled-coil 1 [Source:MGI Symbol;Acc:MGI:1916106]"
"Rps14"	"ribosomal protein S14 [Source:MGI Symbol;Acc:MGI:98107]"
"Incenp"	"inner centromere protein [Source:MGI Symbol;Acc:MGI:1313288]"
"Osbp"	"oxysterol binding protein [Source:MGI Symbol;Acc:MGI:97447]"
"Fam111a"	"family with sequence similarity 111, member A [Source:MGI Symbol;Acc:MGI:1915508]"
"Stambpl1"	"STAM binding protein like 1 [Source:MGI Symbol;Acc:MGI:1923880]"
"Kif20b"	"kinesin family member 20B [Source:MGI Symbol;Acc:MGI:2444576]"
"Syvn1"	"synovial apoptosis inhibitor 1, synoviolin [Source:MGI Symbol;Acc:MGI:1921376]"
"Chka"	"choline kinase alpha [Source:MGI Symbol;Acc:MGI:107760]"
"Tmem134"	"transmembrane protein 134 [Source:MGI Symbol;Acc:MGI:1914240]"
"Papss2"	"3'-phosphoadenosine 5'-phosphosulfate synthase 2 [Source:MGI Symbol;Acc:MGI:1330223]"
"Drap1"	"Dr1 associated protein 1 (negative cofactor 2 alpha) [Source:MGI Symbol;Acc:MGI:1913806]"
"Cep55"	"centrosomal protein 55 [Source:MGI Symbol;Acc:MGI:1921357]"
"Noc3l"	"nucleolar complex associated 3 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1932610]"
"Hells"	"helicase, lymphoid specific [Source:MGI Symbol;Acc:MGI:106209]"
"Aldh18a1"	"aldehyde dehydrogenase 18 family, member A1 [Source:MGI Symbol;Acc:MGI:1888908]"
"Ccnj"	"cyclin J [Source:MGI Symbol;Acc:MGI:2443297]"
"Taf5"	"TAF5 RNA polymerase II, TATA box binding protein (TBP)-associated factor [Source:MGI Symbol;Acc:MGI:2442144]"
"Fasn"	"fatty acid synthase [Source:MGI Symbol;Acc:MGI:95485]"
"Slc16a3"	"solute carrier family 16 (monocarboxylic acid transporters), member 3 [Source:MGI Symbol;Acc:MGI:1933438]"
"Loxl4"	"lysyl oxidase-like 4 [Source:MGI Symbol;Acc:MGI:1914823]"
"Kazald1"	"Kazal-type serine peptidase inhibitor domain 1 [Source:MGI Symbol;Acc:MGI:2147606]"
"Gbf1"	"golgi-specific brefeldin A-resistance factor 1 [Source:MGI Symbol;Acc:MGI:1861607]"
"Nfkb2"	"nuclear factor of kappa light polypeptide gene enhancer in B cells 2, p49/p100 [Source:MGI Symbol;Acc:MGI:1099800]"
"Pitx3"	"paired-like homeodomain transcription factor 3 [Source:MGI Symbol;Acc:MGI:1100498]"
"Adpgk"	"ADP-dependent glucokinase [Source:MGI Symbol;Acc:MGI:1919391]"
"Huwe1"	"HECT, UBA and WWE domain containing 1 [Source:MGI Symbol;Acc:MGI:1926884]"
"Flnb"	"filamin, beta [Source:MGI Symbol;Acc:MGI:2446089]"
"Rps24"	"ribosomal protein S24 [Source:MGI Symbol;Acc:MGI:98147]"
"Ube3a"	"ubiquitin protein ligase E3A [Source:MGI Symbol;Acc:MGI:105098]"
"Gdf11"	"growth differentiation factor 11 [Source:MGI Symbol;Acc:MGI:1338027]"
"Nabp2"	"nucleic acid binding protein 2 [Source:MGI Symbol;Acc:MGI:1917167]"
"Nab2"	"Ngfi-A binding protein 2 [Source:MGI Symbol;Acc:MGI:107563]"
"R3hdm2"	"R3H domain containing 2 [Source:MGI Symbol;Acc:MGI:1919000]"
"Taldo1"	"transaldolase 1 [Source:MGI Symbol;Acc:MGI:1274789]"
"Rplp2"	"ribosomal protein, large P2 [Source:MGI Symbol;Acc:MGI:1914436]"
"Dock9"	"dedicator of cytokinesis 9 [Source:MGI Symbol;Acc:MGI:106321]"
"Cbx8"	"chromobox 8 [Source:MGI Symbol;Acc:MGI:1353589]"
"Gaa"	"glucosidase, alpha, acid [Source:MGI Symbol;Acc:MGI:95609]"
"Copg2"	"coatomer protein complex, subunit gamma 2 [Source:MGI Symbol;Acc:MGI:1858683]"
"Podxl"	"podocalyxin-like [Source:MGI Symbol;Acc:MGI:1351317]"
"Phf6"	"PHD finger protein 6 [Source:MGI Symbol;Acc:MGI:1918248]"
"March8"	"membrane-associated ring finger (C3HC4) 8 [Source:MGI Symbol;Acc:MGI:1919029]"
"Sdc3"	"syndecan 3 [Source:MGI Symbol;Acc:MGI:1349163]"
"Itih5"	"inter-alpha (globulin) inhibitor H5 [Source:MGI Symbol;Acc:MGI:1925751]"
"Clec3b"	"C-type lectin domain family 3, member b [Source:MGI Symbol;Acc:MGI:104540]"
"Slco3a1"	"solute carrier organic anion transporter family, member 3a1 [Source:MGI Symbol;Acc:MGI:1351867]"
"Pgm2"	"phosphoglucomutase 2 [Source:MGI Symbol;Acc:MGI:97565]"
"Rpl14"	"ribosomal protein L14 [Source:MGI Symbol;Acc:MGI:1914365]"
"Pdia4"	"protein disulfide isomerase associated 4 [Source:MGI Symbol;Acc:MGI:104864]"
"Cplx2"	"complexin 2 [Source:MGI Symbol;Acc:MGI:104726]"
"Higd2a"	"HIG1 domain family, member 2A [Source:MGI Symbol;Acc:MGI:1914294]"
"Unc5a"	"unc-5 homolog A (C. elegans) [Source:MGI Symbol;Acc:MGI:894682]"
"Gria4"	"glutamate receptor, ionotropic, AMPA4 (alpha 4) [Source:MGI Symbol;Acc:MGI:95811]"
"Lypla1"	"lysophospholipase 1 [Source:MGI Symbol;Acc:MGI:1344588]"
"Msc"	"musculin [Source:MGI Symbol;Acc:MGI:1333884]"
"Pikfyve"	"phosphoinositide kinase, FYVE finger containing [Source:MGI Symbol;Acc:MGI:1335106]"
"Creb1"	"cAMP responsive element binding protein 1 [Source:MGI Symbol;Acc:MGI:88494]"
"Adam23"	"a disintegrin and metallopeptidase domain 23 [Source:MGI Symbol;Acc:MGI:1345162]"
"Eef1b2"	"eukaryotic translation elongation factor 1 beta 2 [Source:MGI Symbol;Acc:MGI:1929520]"
"Nrp2"	"neuropilin 2 [Source:MGI Symbol;Acc:MGI:1100492]"
"9430016H08Rik"	"RIKEN cDNA 9430016H08 gene [Source:MGI Symbol;Acc:MGI:1915365]"
"Rftn2"	"raftlin family member 2 [Source:MGI Symbol;Acc:MGI:1921263]"
"Coq10b"	"coenzyme Q10 homolog B (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1915126]"
"Slc39a10"	"solute carrier family 39 (zinc transporter), member 10 [Source:MGI Symbol;Acc:MGI:1914515]"
"Kansl1l"	"KAT8 regulatory NSL complex subunit 1-like [Source:MGI Symbol;Acc:MGI:1915941]"
"Rpe"	"ribulose-5-phosphate-3-epimerase [Source:MGI Symbol;Acc:MGI:1913896]"
"Als2"	"amyotrophic lateral sclerosis 2 (juvenile) [Source:MGI Symbol;Acc:MGI:1921268]"
"Trak2"	"trafficking protein, kinesin binding 2 [Source:MGI Symbol;Acc:MGI:1918077]"
"Cflar"	"CASP8 and FADD-like apoptosis regulator [Source:MGI Symbol;Acc:MGI:1336166]"
"Sgol2"	"shugoshin-like 2 (S. pombe) [Source:MGI Symbol;Acc:MGI:1098767]"
"Gls"	"glutaminase [Source:MGI Symbol;Acc:MGI:95752]"
"Nabp1"	"nucleic acid binding protein 1 [Source:MGI Symbol;Acc:MGI:1923258]"
"Tmeff2"	"transmembrane protein with EGF-like and two follistatin-like domains 2 [Source:MGI Symbol;Acc:MGI:1861735]"
"Zfp142"	"zinc finger protein 142 [Source:MGI Symbol;Acc:MGI:1924514]"
"Sphkap"	"SPHK1 interactor, AKAP domain containing [Source:MGI Symbol;Acc:MGI:1924879]"
"Cyp27a1"	"cytochrome P450, family 27, subfamily a, polypeptide 1 [Source:MGI Symbol;Acc:MGI:88594]"
"Speg"	"SPEG complex locus [Source:MGI Symbol;Acc:MGI:109282]"
"Obsl1"	"obscurin-like 1 [Source:MGI Symbol;Acc:MGI:2138628]"
"Trip12"	"thyroid hormone receptor interactor 12 [Source:MGI Symbol;Acc:MGI:1309481]"
"Itm2c"	"integral membrane protein 2C [Source:MGI Symbol;Acc:MGI:1927594]"
"Chrnd"	"cholinergic receptor, nicotinic, delta polypeptide [Source:MGI Symbol;Acc:MGI:87893]"
"Chrng"	"cholinergic receptor, nicotinic, gamma polypeptide [Source:MGI Symbol;Acc:MGI:87895]"
"Efhd1"	"EF hand domain containing 1 [Source:MGI Symbol;Acc:MGI:1921607]"
"Lrrfip1"	"leucine rich repeat (in FLII) interacting protein 1 [Source:MGI Symbol;Acc:MGI:1342770]"
"Tnfrsf11a"	"tumor necrosis factor receptor superfamily, member 11a [Source:MGI Symbol;Acc:MGI:1314891]"
"Pam"	"peptidylglycine alpha-amidating monooxygenase [Source:MGI Symbol;Acc:MGI:97475]"
"Slc35f5"	"solute carrier family 35, member F5 [Source:MGI Symbol;Acc:MGI:1921400]"
"Rgs2"	"regulator of G-protein signaling 2 [Source:MGI Symbol;Acc:MGI:1098271]"
"Cd55"	"CD55 antigen [Source:MGI Symbol;Acc:MGI:104850]"
"Tmem9"	"transmembrane protein 9 [Source:MGI Symbol;Acc:MGI:1913491]"
"Pkp1"	"plakophilin 1 [Source:MGI Symbol;Acc:MGI:1328359]"
"Tnnt2"	"troponin T2, cardiac [Source:MGI Symbol;Acc:MGI:104597]"
"Rbbp5"	"retinoblastoma binding protein 5 [Source:MGI Symbol;Acc:MGI:1918367]"
"Myog"	"myogenin [Source:MGI Symbol;Acc:MGI:97276]"
"Atp2b4"	"ATPase, Ca++ transporting, plasma membrane 4 [Source:MGI Symbol;Acc:MGI:88111]"
"Tor1aip1"	"torsin A interacting protein 1 [Source:MGI Symbol;Acc:MGI:3582693]"
"Lamc2"	"laminin, gamma 2 [Source:MGI Symbol;Acc:MGI:99913]"
"Adck3"	"aarF domain containing kinase 3 [Source:MGI Symbol;Acc:MGI:1914676]"
"Copa"	"coatomer protein complex subunit alpha [Source:MGI Symbol;Acc:MGI:1334462]"
"Mpzl1"	"myelin protein zero-like 1 [Source:MGI Symbol;Acc:MGI:1915731]"
"F5"	"coagulation factor V [Source:MGI Symbol;Acc:MGI:88382]"
"Cenpf"	"centromere protein F [Source:MGI Symbol;Acc:MGI:1313302]"
"Eprs"	"glutamyl-prolyl-tRNA synthetase [Source:MGI Symbol;Acc:MGI:97838]"
"Usf1"	"upstream transcription factor 1 [Source:MGI Symbol;Acc:MGI:99542]"
"Ddr2"	"discoidin domain receptor family, member 2 [Source:MGI Symbol;Acc:MGI:1345277]"
"Nuf2"	"NUF2, NDC80 kinetochore complex component, homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1914227]"
"Rabgap1l"	"RAB GTPase activating protein 1-like [Source:MGI Symbol;Acc:MGI:1352507]"
"Tnn"	"tenascin N [Source:MGI Symbol;Acc:MGI:2665790]"
"Plxdc2"	"plexin domain containing 2 [Source:MGI Symbol;Acc:MGI:1914698]"
"Orc4"	"origin recognition complex, subunit 4 [Source:MGI Symbol;Acc:MGI:1347043]"
"Gtf3c5"	"general transcription factor IIIC, polypeptide 5 [Source:MGI Symbol;Acc:MGI:1917489]"
"Ak1"	"adenylate kinase 1 [Source:MGI Symbol;Acc:MGI:87977]"
"Nr4a2"	"nuclear receptor subfamily 4, group A, member 2 [Source:MGI Symbol;Acc:MGI:1352456]"
